rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,3.2,0.22,94.85
2,2,Liverpool,Barclays Premier League,2.95,0.2,93.98
3,3,Bayern Munich,German Bundesliga,3.4,0.45,93.12
4,4,Real Madrid,Spanish Primera Division,2.71,0.34,90.26
5,6,Barcelona,Spanish Primera Division,2.94,0.47,90.04
6,5,Paris Saint-Germain,French Ligue 1,3.22,0.7,88.74
7,7,RB Leipzig,German Bundesliga,2.66,0.46,88.0
8,9,Borussia Dortmund,German Bundesliga,2.69,0.58,85.99
9,8,Chelsea,Barclays Premier League,2.43,0.46,85.57
10,10,Atletico Madrid,Spanish Primera Division,2.05,0.3,84.8
11,11,Juventus,Italy Serie A,2.45,0.57,83.58
12,15,Manchester United,Barclays Premier League,2.19,0.47,82.6
13,13,Atalanta,Italy Serie A,2.54,0.73,81.71
14,19,Sevilla FC,Spanish Primera Division,2.12,0.49,81.36
15,17,Wolverhampton,Barclays Premier League,2.05,0.45,81.34
16,14,Leicester City,Barclays Premier League,2.18,0.54,80.96
17,16,Bayer Leverkusen,German Bundesliga,2.39,0.67,80.91
18,12,Getafe,Spanish Primera Division,1.84,0.36,80.37
19,22,Internazionale,Italy Serie A,2.31,0.66,80.22
20,18,Tottenham Hotspur,Barclays Premier League,2.23,0.66,79.11
21,21,Everton,Barclays Premier League,2.15,0.61,78.94
22,20,Ajax,Dutch Eredivisie,2.61,0.97,77.81
23,28,Arsenal,Barclays Premier League,2.18,0.71,77.08
24,29,Real Sociedad,Spanish Primera Division,2.15,0.7,77.06
25,24,Lazio,Italy Serie A,2.2,0.73,77.05
26,26,Zenit St Petersburg,Russian Premier Liga,2.03,0.64,76.67
27,23,FC Salzburg,Austrian T-Mobile Bundesliga,2.8,1.16,76.64
28,31,AS Roma,Italy Serie A,2.17,0.76,75.92
29,25,FC Porto,Portuguese Liga,2.02,0.68,75.61
30,27,Napoli,Italy Serie A,2.14,0.75,75.59
31,30,Borussia Monchengladbach,German Bundesliga,2.2,0.81,75.27
32,33,Olympiacos,Greek Super League,2.0,0.72,74.14
33,32,Benfica,Portuguese Liga,2.09,0.79,74.03
34,34,Villarreal,Spanish Primera Division,2.15,0.84,73.78
35,35,Sheffield United,Barclays Premier League,1.78,0.59,73.71
36,39,Lyon,French Ligue 1,1.81,0.63,73.16
37,36,AC Milan,Italy Serie A,1.93,0.73,72.8
38,40,VfL Wolfsburg,German Bundesliga,1.97,0.77,72.6
39,38,Eintracht Frankfurt,German Bundesliga,2.07,0.86,72.24
40,37,Real Betis,Spanish Primera Division,1.99,0.81,72.02
41,46,Southampton,Barclays Premier League,1.95,0.78,71.96
42,41,Flamengo,Brasileiro Série A,2.08,0.88,71.72
43,48,Club Brugge,Belgian Jupiler League,1.85,0.76,70.84
44,45,Celtic,Scottish Premiership,2.15,0.98,70.73
45,44,Brighton and Hove Albion,Barclays Premier League,1.9,0.79,70.68
46,42,Athletic Bilbao,Spanish Primera Division,1.69,0.64,70.62
47,52,Shakhtar Donetsk,UEFA Europa League,2.14,1.0,70.21
48,54,Burnley,Barclays Premier League,1.84,0.77,70.18
49,43,Watford,Barclays Premier League,1.86,0.79,70.07
50,64,FC Cologne,German Bundesliga,2.02,0.91,70.06
51,49,Marseille,French Ligue 1,1.69,0.68,69.59
52,61,Granada,Spanish Primera Division,1.71,0.71,69.48
53,51,Celta Vigo,Spanish Primera Division,1.81,0.78,69.45
54,57,TSG Hoffenheim,German Bundesliga,2.19,1.07,69.45
55,53,Valencia,Spanish Primera Division,2.02,0.94,69.4
56,47,Osasuna,Spanish Primera Division,1.82,0.81,69.03
57,59,Crystal Palace,Barclays Premier League,1.74,0.74,68.96
58,55,Espanyol,Spanish Primera Division,1.83,0.83,68.67
59,60,Lille,French Ligue 1,1.72,0.75,68.66
60,50,Eibar,Spanish Primera Division,1.7,0.74,68.43
61,65,Leganes,Spanish Primera Division,1.58,0.65,68.2
62,58,AS Monaco,French Ligue 1,1.96,0.95,68.07
63,62,Fiorentina,Italy Serie A,1.82,0.85,67.96
64,67,LASK Linz,Austrian T-Mobile Bundesliga,2.0,1.02,67.32
65,63,FC Krasnodar,Russian Premier Liga,1.77,0.84,67.26
66,68,Dynamo Kiev,UEFA Europa League,1.97,1.01,67.02
67,71,Alavés,Spanish Primera Division,1.72,0.81,66.8
68,56,Schalke 04,German Bundesliga,1.81,0.89,66.76
69,73,Basel,Swiss Raiffeisen Super League,2.03,1.08,66.46
70,69,Palmeiras,Brasileiro Série A,1.67,0.79,66.46
71,75,River Plate,Argentina Primera Division,1.76,0.87,66.24
72,70,Leeds United,English League Championship,1.77,0.89,66.04
73,77,1. FC Union Berlin,German Bundesliga,1.82,0.94,65.74
74,66,PAOK Salonika,Greek Super League,1.82,0.94,65.73
75,80,Braga,Portuguese Liga,1.85,0.97,65.65
76,79,West Ham United,Barclays Premier League,1.91,1.02,65.53
77,74,Dinamo Zagreb,UEFA Champions League,2.05,1.14,65.45
78,72,Brentford,English League Championship,1.72,0.87,65.44
79,76,Santos,Brasileiro Série A,1.6,0.78,65.25
80,83,PSV,Dutch Eredivisie,2.0,1.12,65.0
81,78,Strasbourg,French Ligue 1,1.58,0.78,64.79
82,92,Galatasaray,Turkish Turkcell Super Lig,1.83,0.99,64.67
83,81,Verona,Italy Serie A,1.67,0.86,64.63
84,84,CSKA Moscow,Russian Premier Liga,1.63,0.84,64.35
85,85,AZ,Dutch Eredivisie,1.89,1.06,64.23
86,89,Stade Rennes,French Ligue 1,1.52,0.76,64.0
87,93,Levante,Spanish Primera Division,1.88,1.09,63.37
88,90,Slavia Prague,UEFA Champions League,1.92,1.13,63.19
89,87,Bologna,Italy Serie A,1.8,1.03,63.19
90,107,KAA Gent,Belgian Jupiler League,1.89,1.1,63.16
91,94,FC Augsburg,German Bundesliga,1.85,1.08,62.97
92,91,Guimaraes,Portuguese Liga,1.64,0.91,62.97
93,101,Sporting CP,Portuguese Liga,1.63,0.9,62.86
94,95,Grêmio,Brasileiro Série A,1.65,0.93,62.69
95,86,Mainz,German Bundesliga,1.95,1.18,62.6
96,88,AFC Bournemouth,Barclays Premier League,1.79,1.05,62.54
97,109,Nantes,French Ligue 1,1.53,0.84,62.35
98,97,Montpellier,French Ligue 1,1.5,0.82,62.18
99,98,Atlético Paranaense,Brasileiro Série A,1.42,0.75,62.05
100,105,Real Valladolid,Spanish Primera Division,1.5,0.83,61.97
101,100,Angers,French Ligue 1,1.43,0.77,61.88
102,99,Sampdoria,Italy Serie A,1.72,1.02,61.88
103,104,Young Boys,Swiss Raiffeisen Super League,2.04,1.29,61.88
104,102,Guangzhou Evergrande,Chinese Super League,1.87,1.15,61.79
105,108,Trabzonspor,Turkish Turkcell Super Lig,1.85,1.14,61.53
